dimension,group,n_accounts,churn_rate
channel,Channel A,6754,0.12140953509031685
channel,Channel B,3725,0.07597315436241611
channel,Channel C,1843,0.05588714053174173
channel,Channel D,1375,0.10036363636363636
channel,Channel E,893,0.083986562150056
channel,Channel F,11,0.0
channel,Channel G,3,0.0
channel,Channel H,2,0.0
tenure,1,1,0.0
tenure,2,11,0.2727272727272727
tenure,3,2433,0.13522400328812165
tenure,4,3982,0.1185334003013561
tenure,5,2317,0.08631851532153648
tenure,6,4769,0.07108408471377647
tenure,7,509,0.0825147347740668
tenure,8,103,0.04854368932038835
tenure,9,92,0.010869565217391304
tenure,10,81,0.04938271604938271
tenure,11,185,0.06486486486486487
tenure,12,110,0.1
tenure,13,13,0.07692307692307693
products,1,11431,0.0998162890385793
products,2,2445,0.0850715746421268
products,3,523,0.0994263862332696
products,4+,207,0.08695652173913043
fuel,Electricity + gas,2651,0.08185590343266692
fuel,Electricity only,11955,0.10054370556252613
