id,tenure_years,nb_prod_act,pow_max,cons_12m,net_margin,has_gas_flag,days_to_contract_end,churn_probability,risk_rank,risk_decile
1b337781a10c8387817a4623783ca351,4,1,24.0,140028,738.0,0,153,0.6626320385148547,1,1
7fa519c9be32a4af772b73c67e03b50d,4,1,41.5,128239,734.88,0,32,0.6600053157426428,2,1
f83c1ab1ca1d1802bb1df4d72820243c,3,1,30.0,66383,669.18,0,124,0.6593400253282478,3,1
34cf6fff561a46bba348a5480e469884,3,1,80.0,194178,1109.1,0,345,0.6584984774717749,4,1
b0ecc107ec5c6ea99eb2eead66797871,4,2,21.0,4178,50.89,0,140,0.6524819522555605,5,1
8716c63c75820356b50d059b23a9615a,3,4,35.0,13329,90.16,1,202,0.6476829036477662,6,1
fdebf90d9ad0e90cdc34d198c3fbbe0f,3,2,34.641,11493,146.7,1,94,0.6451204462913287,7,1
4b8302651365380844efa445830c42aa,3,1,35.0,9558,177.88,0,122,0.6449030067126102,8,1
9244e7a421c7d52510f360d49d4f47ea,3,1,10.392,1711,239.56,0,88,0.6448100162070807,9,1
29845e1854e52db86e76bacaf298e2ca,3,1,18.41,43652,1987.83,0,30,0.6437350624056173,10,1
2209816a40e6fdcb1e1f8f8cf98557fb,3,1,25.0,10607,154.64,0,8,0.6429179725185379,11,1
21f6a6ae5c67ff4f9b2d1bf1c959e675,3,1,17.86,34760,362.81,0,136,0.6429043155668676,12,1
7877a2872a5e50bbc1a2e54702fe2c91,3,1,47.0,80461,902.98,0,346,0.642898777039243,13,1
130b726a2d6f86c97abdede718efc886,3,1,19.8,328,64.78,0,194,0.6426878837958687,14,1
17de083318fe87827b2b42c137a3bc75,3,2,25.0,388574,710.73,1,346,0.6405021032816669,15,1
904b20b1a37ee824e02b3def266e3be3,4,1,19.71,8303,111.08,0,84,0.6398646490294486,16,1
39399ffbee2eec9bfd6cc6c3d4ab76ec,3,1,34.641,8382,475.7,0,50,0.6396854946698102,17,1
9d6ada1917a9147adb410d461ca6144b,3,1,63.0,75671,788.15,0,339,0.6369530027470657,18,1
88abbe0a03ed77b91ce20abeae11a798,3,1,10.392,1224,169.53,0,54,0.6364219658152668,19,1
6faeddd3907b86e21cdeb9630d2a6cdc,3,1,16.5,54973,334.5,0,135,0.6345139322735746,20,1
22c99d0343c03cba38d12220fa1dae22,3,1,19.8,10317,78.01,0,134,0.6341750150509792,21,1
27a0c87880b2169c49c9419bb2cb0645,3,1,17.25,30817,300.72,0,107,0.6339100213970353,22,1
26130b28d4567a025e7427ec062efc0d,3,1,20.75,4028,36.06,0,73,0.6330806155601119,23,1
bac4b2732d71b4e00dd6b489f9de9ccb,3,1,17.320999999999998,11533,145.15,0,362,0.6320600112545635,24,1
e7bdc7743d73a9bf94cc3c6a293fca93,4,1,29.5,59935,2711.19,0,75,0.631903787558626,25,1
9c64b5f7f3b70ec73adb2a5c23257e6f,4,1,19.398,5890,109.49,0,143,0.6301323814693257,26,1
47a84301f61c9e35a90c5afca0bc7ab7,2,1,19.8,25352,296.04,0,201,0.6287147324475484,27,1
c8b49ef83d55d388f47d358a386af876,4,1,19.8,9920,117.2,0,136,0.6283548102844153,28,1
1fe90c1d5c7e023eff90fea8a41af093,3,1,13.856,909,160.13,0,78,0.6280288847392247,29,1
58c20a5f625974b5ddd76f6f5b4b69cb,3,1,25.0,10182,136.08,0,15,0.627485780897637,30,1
1b81aead95fd585bba10757185b62280,3,1,17.320999999999998,6236,87.46,0,286,0.6272107699508971,31,1
0e591e5c76639dacec7d23170fda6844,4,1,20.7,4244,31.31,0,32,0.6271237058106988,32,1
568d5bae3212cae9a7ae929df10312cf,4,1,20.78,9935,0.0,0,355,0.6271176713127539,33,1
9f080126baa731baf2fb5535ab8f067d,3,1,70.0,64103,564.8,0,354,0.6270015237249843,34,1
0435181ca2760b517b027a310fec5b98,4,1,19.745,2026,14.3,0,355,0.6243814945068225,35,1
768970ef5cadfed000b8b407defb90cd,3,1,32.85,67662,797.53,0,280,0.6237567319986864,36,1
479da5e8e1cefadc2c3e976d9e8ba8c9,4,1,26.0,14373,177.82,0,110,0.6236120470124423,37,1
5d7bf818c303476b7a9e44b1ada7d674,4,1,19.9,59387,124.14,0,153,0.6234999033781983,38,1
db27eaabb61a05529b25c5247906e03c,3,1,15.001,11278,163.38,0,93,0.6232623664461638,39,1
7d7bf82f7e03d9e7f60813ac3e638e94,3,1,17.32,17827,275.05,0,23,0.6231533990346078,40,1
2eeff76149b412fed5dfa71eb81bcc98,3,1,27.713,32075,398.77,0,349,0.6225261215906077,41,1
a7387dd088275ab507dbcf8f27188607,3,1,20.78,46759,266.72,0,186,0.6220629471671401,42,1
8e0120f5f4cea61e0c4583e0f9f63647,4,1,17.32,22155,243.0,0,184,0.6216932204657024,43,1
fe0effe462cf851ec58677332fb8e02c,4,1,27.7,9935,88.27,0,355,0.6216186719886749,44,1
5f5c9d32b685b653baec9302c3d87550,4,1,17.320999999999998,6292,67.65,0,42,0.621502971320878,45,1
c11b8c59a331b9d01768c90d240a9347,3,2,27.6,128945,510.53,1,362,0.6213898910443777,46,1
a2a942827aa15106aa8e84eff1571788,4,1,60.0,222975,1286.57,0,25,0.6209686269246685,47,1
3599604f49b3768610c0fc8b2f52ea51,3,1,25.88,7025,87.04,0,202,0.6207867365020309,48,1
